# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
4.4.1.8      25075.25   928.71
3.4.11.1     25062.14   928.23
5.3.1.12     24945.29   923.90
6.3.5.1      24920.68   922.99
3.2.1.25     24912.01   922.67
4.1.1.19     24907.24   922.49
3.5.1.11     24854.18   920.53
1.2.1.11     24853.95   920.52
5.4.99.23    24825.83   919.48
1.8.4.11     24711.29   915.23
4.2.1.136    24563.40   909.76
1.1.1.31     24537.56   908.80
6.3.4.4      24453.04   905.67
2.3.1.1      24450.91   905.59
4.3.2.2      24409.54   904.06
4.3.2.1      24373.95   902.74
3.3.1.1      24267.15   898.78
5.4.99.16    24157.64   894.73
3.2.1.18     24136.97   893.96
2.1.1.63     24110.96   893.00
5.1.1.1      24101.48   892.65
2.5.1.18     24092.86   892.33
5.1.99.6     24026.57   889.87
6.1.1.11     24007.61   889.17
6.1.1.21     23892.40   884.90
2.7.4.9      23885.63   884.65
1.17.7.4     23792.12   881.19
3.6.1.55     23763.49   880.13
1.2.1.39     23748.08   879.56
3.2.2.27     23695.12   877.60
1.1.1.38     23673.23   876.79
2.3.1.157    23628.76   875.14
3.5.4.25     23627.64   875.10
3.6.5.4      23603.69   874.21
1.1.1.157    23517.92   871.03
3.2.1.165    23470.93   869.29
2.5.1.19     23399.84   866.66
2.5.1.6      23393.67   866.43
1.1.1.169    23346.58   864.69
2.7.1.30     23282.75   862.32
3.5.4.4      23179.16   858.49
3.2.2.10     23092.47   855.28
1.2.5.1      23024.73   852.77
2.7.2.3      23020.20   852.60
3.1.3.25     22939.96   849.63
1.8.1.8      22862.71   846.77
3.1.1.53     22719.35   841.46
6.1.1.1      22685.58   840.21
6.3.4.19     22652.92   839.00
2.4.1.21     22621.38   837.83
1.1.1.25     22575.28   836.12
5.4.2.10     22555.98   835.41
2.6.1.11     22548.27   835.12
6.3.2.8      22531.93   834.52
4.1.1.31     22467.96   832.15
6.3.2.17     22375.52   828.72
1.1.1.40     22370.89   828.55
2.7.8.5      22362.15   828.23
6.3.2.12     22260.37   824.46
2.5.1.7      22224.17   823.12
3.6.1.66     22115.87   819.11
2.1.1.113    22058.31   816.97
2.1.1.190    22044.78   816.47
1.15.1.1     22037.56   816.21
2.3.1.31     22022.42   815.65
3.5.1.81     22004.54   814.98
2.1.1.37     21870.56   810.02
1.2.1.12     21799.23   807.38
1.8.4.12     21732.20   804.90
2.7.7.24     21725.08   804.63
2.8.4.3      21698.67   803.65
5.3.1.1      21683.80   803.10
6.3.2.9      21618.01   800.67
2.5.1.31     21561.73   798.58
2.1.2.9      21516.65   796.91
