# number of annotations: 3390
# number of IDs: 27
# %sparse: 19.57

# the sum and mean counts per row
                  sum     mean
2.6.1.111     1623.02    60.11
3.6.1.57      1621.47    60.05
1.1.1.339     1620.96    60.04
3.7.1.18      1619.49    59.98
3.2.1.157     1616.68    59.88
2.7.8.20      1609.24    59.60
1.3.1.83      1607.73    59.55
1.3.1.111     1607.73    59.55
6.4.1.8       1606.08    59.48
1.1.1.411     1604.91    59.44
4.1.1.50      1604.70    59.43
4.6.1.16      1601.43    59.31
6.3.3.7       1599.57    59.24
5.3.99.11     1598.56    59.21
1.17.1.5      1591.52    58.95
3.1.1.57      1590.10    58.89
1.3.1.85      1589.30    58.86
3.5.4.27      1587.82    58.81
2.8.3.9       1586.71    58.77
2.6.1.88      1583.58    58.65
3.1.2.21      1579.26    58.49
3.1.27.1      1578.77    58.47
2.3.1.118     1578.04    58.45
1.3.7.1       1573.86    58.29
3.4.19.12     1573.30    58.27
4.3.1.18      1572.53    58.24
3.1.2.29      1568.75    58.10
2.7.1.73      1567.17    58.04
2.7.7.83      1565.47    57.98
2.1.1.151     1564.61    57.95
1.5.1.39      1560.64    57.80
1.1.1.87      1550.64    57.43
1.14.13.83    1549.15    57.38
2.6.1.112     1547.43    57.31
5.1.3.8       1544.80    57.21
2.3.2.29      1543.72    57.17
1.14.13.235   1543.00    57.15
3.1.1.41      1541.80    57.10
2.7.7.99      1540.81    57.07
5.4.99.58     1539.28    57.01
1.3.1.86      1535.25    56.86
1.2.1.5       1531.51    56.72
5.3.3.10      1530.90    56.70
1.2.1.59      1527.84    56.59
2.1.1.213     1523.17    56.41
1.13.11.79    1522.44    56.39
4.2.2.1       1519.44    56.28
6.4.1.9       1518.72    56.25
1.1.1.381     1516.98    56.18
2.1.1.200     1513.37    56.05
4.1.1.96      1511.45    55.98
2.5.1.131     1507.06    55.82
4.2.3.156     1506.41    55.79
5.2.1.1       1503.08    55.67
5.1.3.37      1502.60    55.65
1.14.19.2     1498.00    55.48
2.6.1.77      1493.57    55.32
1.14.19.11    1492.86    55.29
1.14.19.26    1492.86    55.29
5.4.99.1      1491.30    55.23
2.8.3.15      1487.68    55.10
1.2.1.24      1486.28    55.05
1.13.11.6     1482.82    54.92
3.1.1.96      1481.99    54.89
2.6.1.96      1481.10    54.86
1.1.1.175     1477.76    54.73
2.8.2.22      1473.35    54.57
4.2.1.55      1469.81    54.44
1.5.3.22      1461.67    54.14
1.2.1.4       1461.17    54.12
4.1.3.32      1459.56    54.06
2.3.2.10      1459.15    54.04
2.5.1.108     1458.18    54.01
1.4.3.3       1456.50    53.94
2.1.1.242     1454.96    53.89
1.14.13.238   1450.21    53.71
3.4.21.111    1446.71    53.58
3.1.4.17      1445.85    53.55
4.2.1.104     1441.72    53.40
2.7.7.43      1438.51    53.28
2.3.1.233     1436.73    53.21
3.5.3.4       1433.75    53.10
1.1.1.81      1433.64    53.10
3.7.1.21      1432.72    53.06
1.1.1.333     1432.12    53.04
1.14.11.33    1431.69    53.03
1.1.98.3      1412.43    52.31
2.4.1.230     1408.50    52.17
2.7.7.1       1406.87    52.11
5.2.1.2       1404.42    52.02
5.1.3.30      1401.93    51.92
5.1.3.31      1401.93    51.92
1.3.1.32      1401.59    51.91
1.3.1.71      1401.02    51.89
6.1.3.1       1393.36    51.61
4.2.1.12      1392.20    51.56
1.1.5.12      1389.78    51.47
2.4.1.10      1388.87    51.44
5.4.99.62     1380.34    51.12
2.4.2.45      1379.12    51.08
1.3.7.14      1375.69    50.95
1.3.7.15      1375.69    50.95
1.1.1.302     1374.88    50.92
2.7.1.218     1372.26    50.82
2.5.1.76      1370.64    50.76
3.11.1.1      1368.07    50.67
1.2.1.54      1367.84    50.66
6.3.5.12      1367.74    50.66
1.1.1.380     1362.50    50.46
1.12.2.1      1356.66    50.25
1.1.1.368     1351.22    50.05
4.2.2.5       1347.62    49.91
3.6.3.32      1345.15    49.82
6.3.1.14      1339.74    49.62
3.1.2.20      1338.83    49.59
1.6.99.1      1330.82    49.29
2.6.1.76      1324.67    49.06
2.4.1.264     1324.60    49.06
2.4.1.87      1310.85    48.55
3.1.3.93      1309.28    48.49
1.1.1.159     1306.66    48.39
2.4.2.43      1304.57    48.32
3.5.5.7       1302.66    48.25
1.1.1.108     1301.88    48.22
3.5.3.3       1299.97    48.15
1.3.1.21      1299.85    48.14
2.5.1.89      1289.01    47.74
4.1.1.68      1289.01    47.74
1.21.4.2      1288.94    47.74
4.1.3.44      1288.54    47.72
1.5.98.3      1286.07    47.63
3.5.2.18      1284.34    47.57
2.1.1.35      1283.67    47.54
1.1.1.371     1283.56    47.54
4.1.99.11     1282.27    47.49
3.1.3.102     1282.10    47.49
4.2.1.103     1276.72    47.29
5.3.3.14      1272.40    47.13
3.4.24.25     1271.13    47.08
1.1.1.306     1271.05    47.08
2.3.2.16      1267.11    46.93
5.4.1.3       1265.13    46.86
3.5.4.44      1263.05    46.78
6.2.1.14      1262.42    46.76
4.1.2.19      1260.21    46.67
3.1.6.14      1256.03    46.52
1.1.1.58      1253.59    46.43
3.2.1.82      1248.37    46.24
4.4.1.24      1244.99    46.11
2.6.1.57      1240.53    45.95
3.5.1.84      1240.03    45.93
6.4.1.6       1239.97    45.92
2.7.8.15      1229.42    45.53
1.13.11.16    1225.57    45.39
5.3.3.1       1225.15    45.38
4.3.1.15      1220.03    45.19
2.1.1.298     1218.12    45.12
1.13.11.25    1217.68    45.10
1.1.99.2      1217.66    45.10
5.3.2.8       1217.49    45.09
4.2.3.153     1208.83    44.77
3.5.1.2       1207.29    44.71
1.3.99.32     1203.77    44.58
1.13.99.1     1202.61    44.54
2.7.1.100     1200.04    44.45
4.2.1.90      1193.09    44.19
1.4.1.9       1187.36    43.98
3.2.2.26      1180.85    43.74
2.7.4.26      1180.52    43.72
4.3.1.23      1180.07    43.71
1.12.7.2      1175.65    43.54
2.7.1.76      1175.22    43.53
6.2.1.31      1171.19    43.38
4.1.2.21      1165.82    43.18
2.8.2.1       1161.62    43.02
4.2.1.148     1159.51    42.94
1.13.11.57    1158.42    42.90
1.3.1.22      1154.57    42.76
1.4.1.11      1150.21    42.60
1.1.1.203     1149.76    42.58
5.4.2.9       1149.57    42.58
1.1.1.202     1149.40    42.57
1.14.13.141   1148.89    42.55
2.7.7.67      1140.12    42.23
1.4.1.23      1137.30    42.12
2.7.1.161     1137.25    42.12
4.1.1.33      1128.62    41.80
1.1.1.88      1127.82    41.77
3.6.3.44      1126.29    41.71
1.14.11.1     1126.15    41.71
1.2.99.7      1124.22    41.64
1.1.1.77      1124.18    41.64
4.4.1.32      1118.74    41.43
1.1.1.374     1118.53    41.43
1.1.1.264     1114.65    41.28
2.7.8.37      1111.40    41.16
2.3.1.246     1107.00    41.00
1.14.99.57    1106.53    40.98
2.1.3.6       1105.37    40.94
6.3.4.24      1104.86    40.92
4.2.3.130     1103.98    40.89
2.7.1.169     1099.62    40.73
6.3.2.32      1099.46    40.72
4.2.1.153     1096.27    40.60
2.1.1.317     1096.00    40.59
4.6.1.2       1095.20    40.56
2.7.8.40      1092.72    40.47
1.1.1.370     1091.82    40.44
3.7.1.5       1089.42    40.35
3.5.3.17      1084.70    40.17
2.7.4.31      1082.42    40.09
1.3.8.8       1079.89    40.00
3.7.1.20      1076.31    39.86
2.5.1.88      1073.15    39.75
2.5.1.86      1073.15    39.75
4.1.99.14     1072.52    39.72
1.1.99.28     1069.35    39.61
2.3.1.235     1067.33    39.53
2.7.1.217     1062.11    39.34
2.7.1.74      1061.61    39.32
1.1.3.47      1060.18    39.27
1.3.1.104     1059.58    39.24
3.6.1.26      1054.85    39.07
3.2.1.183     1051.94    38.96
2.3.2.26      1050.55    38.91
3.4.22.37     1045.73    38.73
3.11.1.2      1044.93    38.70
2.1.1.98      1040.56    38.54
1.5.98.1      1038.53    38.46
1.1.1.6       1036.61    38.39
5.1.3.29      1030.26    38.16
2.7.1.66      1024.07    37.93
3.6.1.67      1019.71    37.77
1.3.1.45      1018.79    37.73
3.5.1.101     1014.60    37.58
2.5.1.41      1010.60    37.43
4.2.1.135     1005.44    37.24
3.5.1.103     1000.47    37.05
2.5.1.114      998.10    36.97
4.2.2.21       997.84    36.96
4.2.2.20       997.84    36.96
2.4.1.333      995.32    36.86
2.6.1.104      991.76    36.73
1.14.13.229    990.88    36.70
1.14.19.48     990.88    36.70
1.1.1.316      990.69    36.69
3.1.3.85       987.16    36.56
2.4.2.47       986.59    36.54
4.1.1.64       986.37    36.53
1.8.3.1        985.79    36.51
1.17.1.11      984.29    36.46
4.2.1.57       980.90    36.33
5.5.1.27       979.09    36.26
6.2.1.41       976.53    36.17
1.1.1.9        974.70    36.10
2.5.1.97       965.31    35.75
3.6.3.28       964.43    35.72
3.2.1.93       957.64    35.47
2.4.1.14       956.38    35.42
2.1.3.11       955.27    35.38
3.5.4.32       952.64    35.28
2.7.8.11       948.20    35.12
3.1.4.57       947.05    35.08
1.3.3.6        945.17    35.01
2.7.1.189      936.02    34.67
2.1.1.11       933.30    34.57
3.1.2.30       932.13    34.52
4.1.1.70       927.99    34.37
1.3.4.1        925.04    34.26
5.3.1.32       922.20    34.16
1.5.1.28       920.19    34.08
2.4.1.208      916.26    33.94
2.7.7.40       915.52    33.91
4.2.1.116      913.51    33.83
4.4.1.22       909.19    33.67
1.3.98.3       905.87    33.55
6.2.1.36       899.24    33.31
1.3.1.84       899.24    33.31
2.7.7.47       896.92    33.22
2.1.1.41       895.75    33.18
3.4.14.10      894.62    33.13
4.6.1.13       893.58    33.10
2.2.1.11       892.74    33.06
2.3.1.209      891.41    33.02
4.2.1.41       891.22    33.01
1.1.1.173      882.32    32.68
1.1.1.378      882.32    32.68
1.1.1.377      882.32    32.68
1.14.12.7      877.48    32.50
2.3.1.253      874.55    32.39
2.4.1.337      874.38    32.38
1.3.3.5        872.56    32.32
3.1.1.8        861.78    31.92
2.4.1.279      860.27    31.86
3.6.1.41       859.85    31.85
2.7.1.160      858.42    31.79
3.4.24.37      855.36    31.68
3.1.27.6       853.12    31.60
1.3.1.28       852.27    31.57
1.3.8.10       852.25    31.56
6.3.2.36       850.32    31.49
2.4.2.22       848.36    31.42
2.7.8.34       847.58    31.39
2.4.1.173      845.80    31.33
2.4.2.57       845.42    31.31
2.1.1.184      843.42    31.24
1.13.11.82     834.49    30.91
1.6.3.3        831.49    30.80
1.12.1.4       827.80    30.66
2.5.1.66       824.14    30.52
4.1.2.53       822.82    30.47
1.5.99.15      819.73    30.36
2.6.1.113      816.17    30.23
3.4.11.21      814.86    30.18
2.5.1.101      814.45    30.16
1.14.12.19     814.35    30.16
2.1.1.43       814.08    30.15
2.4.1.16       813.20    30.12
2.1.1.206      812.72    30.10
3.4.14.11      811.69    30.06
2.3.3.8        804.59    29.80
4.2.1.5        803.52    29.76
2.7.1.89       802.97    29.74
4.1.1.5        802.19    29.71
3.1.1.4        802.10    29.71
3.4.19.3       801.91    29.70
2.7.1.58       799.90    29.63
1.14.13.84     799.35    29.61
3.1.1.72       794.26    29.42
1.14.13.114    788.97    29.22
1.13.11.46     788.13    29.19
3.6.1.63       785.56    29.09
3.2.1.199      781.88    28.96
1.3.8.11       780.04    28.89
1.13.11.75     779.65    28.88
2.6.1.87       775.08    28.71
2.4.1.226      773.34    28.64
2.4.1.175      773.34    28.64
1.14.14.3      771.36    28.57
4.4.1.36       768.73    28.47
1.8.2.3        766.76    28.40
2.3.1.260      765.75    28.36
3.6.3.1        761.51    28.20
5.1.3.33       760.09    28.15
2.1.1.319      752.84    27.88
3.4.11.24      749.50    27.76
3.7.1.9        747.63    27.69
1.14.11.18     746.75    27.66
4.2.2.7        745.53    27.61
1.1.1.342      745.52    27.61
1.14.11.27     744.10    27.56
5.4.4.1        740.79    27.44
3.1.11.1       738.49    27.35
4.4.1.25       737.77    27.32
1.2.1.19       737.14    27.30
2.6.1.30       737.13    27.30
1.14.12.10     735.25    27.23
2.1.1.61       732.01    27.11
1.14.14.27     731.00    27.07
2.7.1.59       728.13    26.97
2.3.1.28       723.66    26.80
1.1.1.385      722.06    26.74
1.1.1.405      721.51    26.72
1.14.13.10     721.49    26.72
1.3.1.106      715.72    26.51
1.3.1.54       715.72    26.51
4.3.1.24       715.47    26.50
3.5.1.78       714.51    26.46
6.3.1.8        714.51    26.46
5.3.3.19       714.19    26.45
1.14.12.25     712.50    26.39
1.3.99.27      711.81    26.36
2.1.1.288      706.23    26.16
1.3.7.13       705.41    26.13
2.1.1.295      704.41    26.09
1.8.98.1       703.74    26.06
4.1.1.75       703.07    26.04
4.1.1.21       699.90    25.92
2.1.1.156      699.42    25.90
1.4.9.2        697.99    25.85
1.14.11.55     697.07    25.82
4.1.1.51       696.97    25.81
1.1.5.8        696.38    25.79
3.5.99.5       696.20    25.79
1.1.98.2       695.80    25.77
2.7.7.74       694.89    25.74
1.5.99.14      690.78    25.58
2.1.3.7        690.26    25.57
4.2.1.91       690.19    25.56
1.14.99.46     687.46    25.46
4.1.1.104      686.79    25.44
4.1.1.12       683.48    25.31
2.7.7.66       682.81    25.29
3.7.1.13       681.77    25.25
5.5.1.19       681.45    25.24
2.6.1.103      680.54    25.21
2.3.1.178      680.48    25.20
3.5.1.90       677.43    25.09
2.5.1.128      676.72    25.06
3.2.1.178      675.56    25.02
1.1.1.412      675.32    25.01
1.1.1.292      675.07    25.00
3.5.2.15       675.02    25.00
1.16.1.10      667.57    24.72
3.1.1.32       666.06    24.67
1.1.5.11       662.24    24.53
1.1.5.9        658.87    24.40
2.3.1.184      658.79    24.40
3.1.4.4        656.79    24.33
1.14.13.142    654.84    24.25
1.10.3.1       652.21    24.16
4.2.1.56       646.12    23.93
4.1.99.23      643.88    23.85
2.4.1.52       643.59    23.84
2.3.1.86       642.50    23.80
2.1.1.196      642.41    23.79
5.1.3.40       642.27    23.79
2.7.1.67       638.41    23.64
6.2.1.2        636.54    23.58
1.13.11.9      636.20    23.56
2.7.8.24       633.53    23.46
1.1.1.404      631.49    23.39
2.7.1.113      623.47    23.09
2.4.1.60       622.95    23.07
2.1.1.248      622.58    23.06
1.5.1.1        620.19    22.97
1.8.1.15       619.49    22.94
3.2.1.132      616.64    22.84
1.5.1.51       616.23    22.82
4.3.2.3        615.78    22.81
1.13.12.3      611.11    22.63
1.14.14.28     609.15    22.56
4.1.2.41       608.76    22.55
4.2.1.101      608.76    22.55
2.7.7.82       606.57    22.47
2.7.4.2        606.06    22.45
2.7.1.101      604.86    22.40
1.14.13.160    601.36    22.27
3.5.1.23       598.61    22.17
4.3.1.14       596.37    22.09
1.20.4.3       592.02    21.93
2.1.1.243      589.77    21.84
4.1.1.1        587.64    21.76
4.2.2.26       586.52    21.72
1.21.4.1       586.18    21.71
3.1.4.11       585.78    21.70
1.14.18.5      584.32    21.64
2.3.1.223      579.24    21.45
1.8.2.1        578.95    21.44
5.4.99.64      574.07    21.26
3.2.1.94       573.51    21.24
2.6.1.14       572.70    21.21
4.2.1.131      572.11    21.19
1.14.11.30     567.89    21.03
2.4.1.288      567.52    21.02
4.1.99.20      567.00    21.00
1.2.98.1       565.41    20.94
1.1.99.37      565.41    20.94
1.3.8.13       564.63    20.91
2.7.1.194      563.91    20.89
2.3.1.263      560.23    20.75
3.5.1.31       559.80    20.73
1.1.1.287      558.63    20.69
1.14.11.52     557.85    20.66
2.1.1.272      555.60    20.58
2.1.1.178      555.13    20.56
2.3.2.30       554.75    20.55
5.1.99.3       553.26    20.49
2.3.1.18       552.82    20.47
3.2.1.67       551.16    20.41
1.14.13.172    550.51    20.39
1.1.1.400      549.64    20.36
2.6.1.106      548.47    20.31
2.1.1.152      548.25    20.31
4.2.99.21      548.12    20.30
1.7.2.6        546.59    20.24
2.3.1.59       546.06    20.22
4.2.1.28       544.05    20.15
1.14.15.23     542.91    20.11
2.7.1.43       542.80    20.10
1.14.99.58     541.01    20.04
4.3.1.29       539.80    19.99
3.4.24.11      539.48    19.98
3.4.24.75      536.81    19.88
2.7.8.36       536.48    19.87
1.10.3.3       534.95    19.81
3.1.3.105      534.71    19.80
3.4.14.9       534.48    19.80
3.1.2.4        533.61    19.76
6.2.1.8        532.73    19.73
1.1.1.276      531.21    19.67
4.1.1.29       529.76    19.62
4.4.1.28       526.81    19.51
1.10.3.12      524.98    19.44
1.14.13.69     522.11    19.34
1.14.19.17     521.91    19.33
4.2.3.152      521.37    19.31
1.14.15.3      521.09    19.30
1.2.1.84       520.78    19.29
4.1.2.42       519.60    19.24
4.1.1.82       512.45    18.98
2.4.2.37       512.07    18.97
2.4.1.251      511.22    18.93
6.2.1.7        510.67    18.91
5.3.3.4        509.45    18.87
3.1.2.28       509.24    18.86
2.7.1.163      507.23    18.79
1.1.1.215      503.87    18.66
2.1.1.67       503.33    18.64
4.1.3.41       502.37    18.61
4.2.1.155      502.21    18.60
1.12.98.4      500.63    18.54
1.14.99.1      500.00    18.52
2.4.2.30       494.26    18.31
5.3.1.29       493.58    18.28
1.7.2.4        491.70    18.21
3.6.1.17       491.67    18.21
3.9.1.2        490.48    18.17
2.1.1.209      489.99    18.15
1.14.11.16     489.30    18.12
1.1.1.300      487.76    18.07
4.99.1.11      487.73    18.06
3.1.3.77       486.02    18.00
2.4.1.332      482.89    17.88
2.7.1.210      480.39    17.79
2.5.1.62       479.55    17.76
2.5.1.133      479.55    17.76
5.99.1.4       479.24    17.75
1.3.7.7        475.87    17.62
2.8.2.37       475.37    17.61
2.1.1.217      475.34    17.61
2.5.1.60       473.13    17.52
1.3.1.44       469.41    17.39
2.1.4.1        467.00    17.30
2.3.1.225      466.47    17.28
1.1.1.206      465.86    17.25
3.5.3.7        464.99    17.22
2.7.1.157      464.55    17.21
3.4.22.8       464.28    17.20
2.7.11.25      464.18    17.19
1.5.1.41       463.89    17.18
1.16.1.3       463.89    17.18
2.4.99.21      460.88    17.07
1.13.11.14     460.87    17.07
2.1.1.289      459.76    17.03
1.14.11.2      455.85    16.88
1.1.1.21       453.01    16.78
3.2.1.70       452.55    16.76
2.1.1.106      452.52    16.76
2.4.1.252      451.76    16.73
6.2.1.19       450.98    16.70
3.5.1.107      447.28    16.57
1.14.18.2      446.89    16.55
1.14.13.219    446.43    16.53
2.7.1.83       443.36    16.42
1.1.1.384      442.91    16.40
3.2.1.187      441.66    16.36
2.3.1.204      440.89    16.33
3.5.4.21       439.28    16.27
6.2.1.45       436.91    16.18
2.4.1.310      434.75    16.10
6.1.1.13       434.20    16.08
5.4.99.8       433.66    16.06
2.1.1.95       432.44    16.02
1.1.1.135      432.42    16.02
3.5.1.106      430.88    15.96
3.1.1.101      429.95    15.92
3.1.1.23       428.19    15.86
2.1.1.4        427.35    15.83
2.3.1.7        426.83    15.81
3.1.1.84       421.12    15.60
3.1.1.56       421.12    15.60
1.3.1.64       420.33    15.57
2.7.7.95       413.86    15.33
2.8.4.2        413.69    15.32
3.3.2.8        411.21    15.23
1.14.13.168    410.90    15.22
1.14.99.48     406.29    15.05
1.4.99.5       403.72    14.95
5.5.1.7        402.82    14.92
5.1.1.14       401.23    14.86
4.7.1.1        397.71    14.73
3.5.2.1        395.28    14.64
4.1.1.22       394.62    14.62
3.5.1.100      394.07    14.60
2.7.1.95       393.04    14.56
3.4.23.52      392.91    14.55
4.1.1.47       392.71    14.54
1.2.1.50       388.82    14.40
3.1.1.27       387.88    14.37
2.1.1.304      387.63    14.36
1.13.11.80     386.88    14.33
3.5.1.98       386.41    14.31
1.14.13.70     386.32    14.31
3.4.21.110     384.92    14.26
1.5.1.36       383.74    14.21
4.99.1.5       381.19    14.12
4.2.2.24       379.52    14.06
3.6.3.36       377.33    13.98
4.2.1.157      375.34    13.90
3.1.1.7        374.88    13.88
3.6.3.24       371.91    13.77
2.3.2.18       370.07    13.71
2.3.2.17       370.07    13.71
2.1.1.157      369.89    13.70
1.14.13.82     369.09    13.67
2.3.2.23       367.38    13.61
3.1.1.59       367.24    13.60
2.1.1.301      366.96    13.59
2.7.11.11      366.56    13.58
5.1.3.38       366.38    13.57
2.7.1.3        366.09    13.56
1.1.1.48       365.88    13.55
2.4.1.335      365.48    13.54
1.21.4.3       364.54    13.50
1.13.11.24     361.57    13.39
1.21.4.4       360.21    13.34
6.3.1.11       359.22    13.30
1.18.1.7       358.00    13.26
1.1.98.4       356.64    13.21
2.6.1.84       354.48    13.13
2.4.1.65       353.65    13.10
4.2.1.167      352.38    13.05
2.4.1.152      350.81    12.99
1.14.13.111    350.35    12.98
6.3.1.17       350.02    12.96
6.3.2.41       350.02    12.96
2.1.1.257      349.47    12.94
4.3.1.30       349.45    12.94
4.2.1.109      348.47    12.91
1.5.1.9        348.17    12.90
1.5.1.8        348.17    12.90
2.7.1.14       348.09    12.89
4.2.1.54       347.68    12.88
1.1.1.338      346.39    12.83
1.14.13.29     346.26    12.82
1.14.13.166    346.26    12.82
2.1.1.307      345.97    12.81
6.2.1.18       345.69    12.80
2.1.1.208      345.22    12.79
3.5.1.29       344.85    12.77
6.3.4.12       344.42    12.76
4.1.3.3        343.84    12.73
2.7.11.22      343.00    12.70
1.4.1.18       338.72    12.55
4.2.1.85       338.29    12.53
2.8.3.22       337.75    12.51
1.1.1.102      336.68    12.47
1.1.1.275      336.20    12.45
1.13.11.15     333.60    12.36
2.1.1.186      331.62    12.28
1.3.1.33       331.42    12.27
1.1.1.341      330.26    12.23
1.21.99.4      330.03    12.22
2.3.1.21       328.43    12.16
1.14.99.44     328.10    12.15
1.17.3.2       327.94    12.15
1.1.99.24      324.77    12.03
1.14.15.13     324.59    12.02
3.1.3.87       322.87    11.96
1.14.13.81     322.74    11.95
2.5.1.140      322.36    11.94
4.2.1.171      321.38    11.90
1.1.3.12       321.32    11.90
1.14.13.239    320.20    11.86
3.1.3.96       319.35    11.83
2.3.1.207      318.04    11.78
2.7.1.150      308.14    11.41
2.1.1.343      308.10    11.41
1.1.98.5       306.19    11.34
1.10.3.4       305.27    11.31
2.4.1.255      304.46    11.28
2.1.1.179      302.24    11.19
4.2.1.144      301.64    11.17
1.1.1.337      300.94    11.15
1.1.1.360      300.41    11.13
1.1.1.359      300.41    11.13
2.3.1.242      296.33    10.98
3.1.4.1        296.16    10.97
3.1.6.8        295.66    10.95
1.1.1.396      295.36    10.94
2.4.1.183      294.24    10.90
1.14.12.15     292.57    10.84
3.7.1.14       292.25    10.82
5.4.99.26      291.38    10.79
4.1.1.76       291.28    10.79
2.4.1.338      290.34    10.75
1.13.11.53     286.00    10.59
1.13.11.54     286.00    10.59
1.14.13.50     285.91    10.59
4.1.2.28       284.83    10.55
2.7.11.17      284.75    10.55
1.1.99.21      284.62    10.54
2.4.1.34       282.66    10.47
3.5.1.32       281.41    10.42
1.14.13.162    280.46    10.39
2.7.1.119      279.82    10.36
2.7.8.14       279.31    10.34
2.7.8.47       279.31    10.34
3.7.1.17       279.08    10.34
2.7.1.147      278.92    10.33
2.7.1.146      278.92    10.33
5.5.1.18       278.14    10.30
1.1.1.105      276.36    10.24
1.2.1.77       276.31    10.23
2.3.1.210      275.93    10.22
2.4.1.82       274.94    10.18
3.2.1.150      274.24    10.16
3.5.1.77       273.78    10.14
2.4.1.308      273.55    10.13
2.4.1.56       271.99    10.07
1.11.1.7       270.62    10.02
4.2.1.99       269.83     9.99
2.3.2.31       269.49     9.98
2.7.7.91       269.32     9.97
2.7.1.47       269.19     9.97
2.1.1.101      264.43     9.79
6.2.1.50       264.02     9.78
2.7.7.39       263.73     9.77
1.3.1.72       263.34     9.75
2.1.1.302      262.18     9.71
3.1.3.70       261.19     9.67
3.4.24.16      261.12     9.67
1.1.1.291      259.77     9.62
4.3.3.2        258.99     9.59
3.6.3.10       258.46     9.57
1.14.13.221    258.41     9.57
5.4.3.9        258.02     9.56
3.5.5.8        256.95     9.52
2.4.1.329      256.88     9.51
2.4.1.144      256.66     9.51
3.1.1.73       256.54     9.50
2.4.1.5        253.98     9.41
2.4.2.12       253.93     9.40
2.8.3.21       253.92     9.40
3.1.27.9       253.68     9.40
2.7.1.193      252.36     9.35
2.7.11.12      251.40     9.31
3.13.1.4       249.39     9.24
1.23.1.2       249.17     9.23
1.23.1.1       249.17     9.23
1.23.1.3       249.17     9.23
1.23.1.4       249.17     9.23
2.6.1.105      247.63     9.17
1.13.11.41     246.97     9.15
2.4.1.13       246.05     9.11
3.6.4.3        245.77     9.10
3.4.16.6       243.57     9.02
1.2.1.83       243.36     9.01
2.7.1.197      243.29     9.01
1.1.1.403      242.84     8.99
3.4.22.47      242.72     8.99
2.4.1.293      241.62     8.95
3.5.1.38       241.10     8.93
1.2.3.15       239.46     8.87
1.11.1.22      239.30     8.86
3.2.1.33       238.73     8.84
3.4.21.100     238.15     8.82
2.7.1.46       237.70     8.80
3.4.22.38      236.62     8.76
1.3.99.5       236.04     8.74
1.14.14.17     235.77     8.73
5.5.1.25       233.16     8.64
2.1.1.281      233.07     8.63
3.2.1.101      232.46     8.61
2.7.12.1       231.26     8.57
3.1.4.12       229.17     8.49
1.8.1.5        228.84     8.48
2.5.1.96       227.15     8.41
1.8.3.7        226.73     8.40
2.4.2.26       224.66     8.32
2.3.1.261      224.66     8.32
3.1.3.36       222.77     8.25
3.4.24.34      222.76     8.25
3.1.3.99       222.56     8.24
1.12.98.3      221.24     8.19
1.1.1.347      221.08     8.19
1.14.13.226    220.94     8.18
2.3.1.229      220.68     8.17
2.3.1.228      220.68     8.17
1.2.1.95       220.48     8.17
5.4.4.3        220.06     8.15
3.1.13.4       219.61     8.13
4.99.1.2       219.20     8.12
5.1.1.18       219.07     8.11
2.4.1.270      218.04     8.08
3.4.24.29      217.62     8.06
4.2.1.43       216.92     8.03
2.3.1.23       216.50     8.02
6.2.1.43       216.48     8.02
6.2.1.22       216.02     8.00
1.1.1.394      215.89     8.00
5.3.3.6        215.48     7.98
1.14.99.39     215.36     7.98
1.14.18.3      215.36     7.98
2.8.1.9        214.63     7.95
2.1.1.103      214.47     7.94
2.7.1.177      214.35     7.94
3.6.5.5        213.74     7.92
4.2.3.2        213.35     7.90
2.7.7.48       212.82     7.88
4.1.2.57       212.20     7.86
3.4.24.26      211.38     7.83
4.3.1.2        210.86     7.81
2.7.7.15       210.07     7.78
2.4.1.17       209.37     7.75
4.2.1.119      207.88     7.70
2.7.8.44       206.17     7.64
5.1.99.7       204.10     7.56
3.4.21.121     204.04     7.56
1.2.1.90       203.47     7.54
1.14.13.209    201.20     7.45
2.1.1.22       199.16     7.38
2.3.1.109      198.65     7.36
1.14.15.24     198.06     7.34
1.1.1.361      197.80     7.33
6.3.1.12       197.55     7.32
3.4.24.56      197.29     7.31
5.4.3.5        197.27     7.31
1.5.3.14       196.68     7.28
1.5.3.16       196.68     7.28
2.7.7.64       196.48     7.28
3.4.24.20      195.11     7.23
1.2.7.6        194.56     7.21
2.7.7.61       193.25     7.16
1.2.99.8       192.82     7.14
3.4.22.49      191.74     7.10
3.5.3.23       191.49     7.09
6.5.1.5        189.78     7.03
3.2.1.83       189.39     7.01
2.4.1.33       189.31     7.01
2.1.1.327      189.01     7.00
2.3.1.111      188.82     6.99
5.3.1.26       188.82     6.99
1.14.11.47     185.93     6.89
1.1.1.289      185.91     6.89
3.1.30.1       185.20     6.86
1.14.12.18     184.41     6.83
3.2.1.85       183.83     6.81
1.14.13.25     183.53     6.80
1.13.11.52     183.46     6.79
4.1.3.46       182.64     6.76
1.14.12.4      182.35     6.75
2.4.2.6        181.84     6.73
3.5.1.47       181.67     6.73
2.8.1.15       181.48     6.72
2.4.1.211      181.03     6.70
1.14.19.18     180.51     6.69
2.3.1.50       179.61     6.65
1.13.11.39     178.91     6.63
2.3.1.42       178.79     6.62
5.3.1.34       178.42     6.61
2.4.1.122      178.26     6.60
6.2.1.4        177.78     6.58
2.3.1.165      177.67     6.58
3.5.1.95       176.75     6.55
